Source,Target,Type,Id,Label,timeset,Weight
240,283,Undirected,1323,,,2
240,285,Undirected,1324,,,3
240,287,Undirected,1325,,,2
240,309,Undirected,1326,,,2
240,314,Undirected,1327,,,2
240,317,Undirected,1328,,,3
240,320,Undirected,1329,,,2
240,321,Undirected,1330,,,2
240,322,Undirected,1331,,,2
240,323,Undirected,1332,,,2
240,326,Undirected,1333,,,2
240,328,Undirected,1334,,,2
240,329,Undirected,1335,,,2
240,332,Undirected,1336,,,2
240,333,Undirected,1337,,,2
240,334,Undirected,1338,,,2
240,337,Undirected,1339,,,2
240,339,Undirected,1340,,,2
240,340,Undirected,1341,,,2
240,344,Undirected,1342,,,2
240,353,Undirected,1343,,,2
240,356,Undirected,1344,,,2
240,376,Undirected,1345,,,2
240,382,Undirected,1346,,,2
240,385,Undirected,1347,,,2
240,386,Undirected,1348,,,2
240,391,Undirected,1349,,,2
215,241,Undirected,1358,,,5
241,252,Undirected,1360,,,2
241,255,Undirected,1361,,,1
241,278,Undirected,1362,,,1
241,310,Undirected,1363,,,2
241,316,Undirected,1364,,,2
241,334,Undirected,1365,,,2
241,373,Undirected,1366,,,2
241,241,Undirected,1368,,,1
240,3,Undirected,1369,,,1
240,242,Undirected,1370,,,1
14,243,Undirected,1373,,,1
14,256,Undirected,1374,,,1
243,265,Undirected,1375,,,5
243,280,Undirected,1376,,,2
243,281,Undirected,1377,,,2
243,284,Undirected,1378,,,1
243,285,Undirected,1379,,,4
243,309,Undirected,1380,,,2
243,310,Undirected,1381,,,2
243,311,Undirected,1382,,,2
243,316,Undirected,1383,,,2
243,327,Undirected,1384,,,2
243,337,Undirected,1385,,,2
243,340,Undirected,1386,,,2
243,341,Undirected,1387,,,2
243,342,Undirected,1388,,,2
243,353,Undirected,1389,,,2
243,362,Undirected,1390,,,2
243,363,Undirected,1391,,,2
243,373,Undirected,1392,,,1
243,379,Undirected,1393,,,2
243,382,Undirected,1394,,,2
243,387,Undirected,1395,,,2
243,391,Undirected,1396,,,3
243,243,Undirected,1398,,,1
241,245,Undirected,1405,,,1
241,271,Undirected,1406,,,1
245,287,Undirected,1407,,,1
245,321,Undirected,1408,,,2
245,322,Undirected,1409,,,2
245,335,Undirected,1410,,,2
245,353,Undirected,1411,,,2
245,378,Undirected,1412,,,2
245,246,Undirected,1413,,,6
245,265,Undirected,1414,,,1
246,271,Undirected,1415,,,9
246,273,Undirected,1416,,,2
246,308,Undirected,1417,,,1
246,309,Undirected,1418,,,3
246,310,Undirected,1419,,,2
246,320,Undirected,1420,,,3
246,321,Undirected,1421,,,2
246,322,Undirected,1422,,,2
246,323,Undirected,1423,,,2
246,331,Undirected,1424,,,1
246,332,Undirected,1425,,,2
246,335,Undirected,1426,,,2
246,337,Undirected,1427,,,2
246,344,Undirected,1428,,,2
246,345,Undirected,1429,,,2
246,346,Undirected,1430,,,1
246,347,Undirected,1431,,,3
246,353,Undirected,1432,,,2
246,354,Undirected,1433,,,1
246,359,Undirected,1434,,,1
246,361,Undirected,1435,,,1
246,368,Undirected,1436,,,2
246,375,Undirected,1437,,,2
246,381,Undirected,1438,,,2
246,382,Undirected,1439,,,2
246,387,Undirected,1440,,,2
246,389,Undirected,1441,,,2
246,390,Undirected,1442,,,2
246,391,Undirected,1443,,,2
246,392,Undirected,1444,,,2
246,246,Undirected,1446,,,1
236,3,Undirected,1451,,,1
236,247,Undirected,1452,,,1
14,52,Undirected,1455,,,1
52,248,Undirected,1458,,,1
252,263,Undirected,1461,,,4
252,265,Undirected,1462,,,6
252,280,Undirected,1463,,,1
252,281,Undirected,1464,,,4
252,283,Undirected,1465,,,1
252,285,Undirected,1466,,,3
252,310,Undirected,1467,,,2
252,319,Undirected,1468,,,3
252,328,Undirected,1469,,,2
252,329,Undirected,1470,,,2
252,334,Undirected,1471,,,1
252,337,Undirected,1472,,,2
252,339,Undirected,1473,,,2
252,340,Undirected,1474,,,2
252,343,Undirected,1475,,,3
252,344,Undirected,1476,,,2
252,353,Undirected,1477,,,2
252,356,Undirected,1478,,,2
252,360,Undirected,1479,,,2
252,366,Undirected,1480,,,2
252,375,Undirected,1481,,,2
252,376,Undirected,1482,,,2
252,377,Undirected,1483,,,1
252,379,Undirected,1484,,,2
252,382,Undirected,1485,,,2
252,383,Undirected,1486,,,2
252,385,Undirected,1487,,,2
252,386,Undirected,1488,,,2
252,391,Undirected,1489,,,2
252,252,Undirected,1491,,,1
227,252,Undirected,1497,,,1
241,253,Undirected,1500,,,1
241,363,Undirected,1501,,,1
253,253,Undirected,1503,,,1
252,254,Undirected,1507,,,1
255,353,Undirected,1510,,,2
255,376,Undirected,1511,,,2
255,383,Undirected,1512,,,2
255,391,Undirected,1513,,,2
255,255,Undirected,1515,,,1
227,238,Undirected,1520,,,2
238,239,Undirected,1522,,,11
238,255,Undirected,1523,,,1
239,255,Undirected,1525,,,1
241,256,Undirected,1529,,,1
243,259,Undirected,1540,,,1
259,259,Undirected,1543,,,1
238,240,Undirected,1548,,,1
240,260,Undirected,1550,,,3
260,330,Undirected,1552,,,2
260,342,Undirected,1553,,,2
260,353,Undirected,1554,,,2
260,366,Undirected,1555,,,2
260,260,Undirected,1557,,,1
227,239,Undirected,1560,,,5
278,280,Undirected,1564,,,4
278,260,Undirected,1565,,,1
280,262,Undirected,1567,,,1
263,337,Undirected,1570,,,2
263,379,Undirected,1571,,,2
263,380,Undirected,1572,,,2
263,263,Undirected,1574,,,1
265,315,Undirected,1579,,,1
265,322,Undirected,1580,,,3
265,337,Undirected,1581,,,2
265,341,Undirected,1582,,,2
265,353,Undirected,1583,,,2
265,362,Undirected,1584,,,2
265,379,Undirected,1585,,,2
265,380,Undirected,1586,,,1
265,381,Undirected,1587,,,3
265,383,Undirected,1588,,,2
265,385,Undirected,1589,,,2
265,391,Undirected,1590,,,2
265,265,Undirected,1592,,,1
6,215,Undirected,1595,,,2
227,236,Undirected,1599,,,3
236,237,Undirected,1601,,,1
237,239,Undirected,1603,,,1
237,265,Undirected,1604,,,1
243,246,Undirected,1609,,,7
246,252,Undirected,1611,,,8
